en man; a man ; known
kycklingen; the chicken ; known
sockret; the sugar ; known
saltet; the salt ; known
osten; the cheese ; known
soppan; the soup ; known
lunchen; the lunch ; known
frukosten; the breakfast ; known
riset; the rice ; known
nötköttet; the beef ; known
maten; the food ; known
pastan; the pasta ; known
jordgubben; the strawberry ; known
citronen; the lemon ; known
pepparn; the pepper ; known
oljan; the oil ; known
fisken; the fish ; known
fläskköttet; the pork ; known
tomaten; the tomato ; known
glassen; the ice cream ; known
tidningen; the newspaper ; known
boken; the book ; known
brödet; the bread ; known
måltiden; the meal ; known
äpplen; apples ; known
böcker; books ; known
tidningar; newspapers ; known
katter; cats ; known
hundar; dogs ; known
hästar; horses ; known
flera; several ; known
ankor; ducks ; known
sköldpaddor; turtles ; known
fåglar; birds ; known
tallrikar; plates ; known
smörgåsar; sandwiches ; known
elefanter; elephants ; known
äpplena; the apples ; known
tidningarna; the newspapers ; known
katterna; the cats ; known
hundarna; the dogs ; known
elefanterna; the elephants ; known
männen; the men ; known
kockar; chefs ; known
kvinnorna; the women ; known
ankorna; ducks ; known
sköldpaddorna; the turtles ; known
djuren; the animals ; known
fåglarna; the birds ; known
tallrikarna; the plates ; known
smörgåsarna; the sandwiches ; known
hästarna; the horses ; known
böckerna; the books ; known
kockarna; the chefs ; known
breven; the letters ; known
barnen; the children ; known
en sko; a shoe ; known
på; on ; known
en klänning; a dress ; known
en jacka; a jacket ; known
en kjol; a skirt ; known
en tröja; a sweater ; known
en strumpa; a sock ; known
byxor; pants ; known
kläder; clothes ; known
en kostym; a suit ; known
en hatt; a hat ; known
en skjorta; a shirt ; known
en skärp; a belt ; known
en handske; a glove ; known
en slips; a tie ; known
en ficka; a pocket ; known
en knapp; a button ; known
en halsduk; a scarf ; known
en rock; a long coat ; known
att se; to see ; known
att komma; to come ; known
att simma; to swim ; known
att skriva; to write ; known
att sjunga; to sing ; known
att välja; to choose ; known
att gå; to walk ; known
att hoppa; to jump ; known
att sova; to sleep ; known
att springa; to run ; known
att åka; to go ; known
att regna; to rain ; known
att höra; to hear ; known
att sälja; to sell ; known
att betala; to pay ; known
att hitta; to find ; known
att arbeta; to work ; known
att rita; to draw ; known
att ha; to have ; known
att köpa; to buy ; known
att använda; to use ; known
att visa; to show ; known
att leka; to play ; known
att skratta; to laugh ; known
att gråta; to cry ; known
att tvätta; to wash ; known
att lyssna; to listen ; known
att stá; to stand ; known
att prata; to speak ; known
att flyga; to fly ; known
att finnas; to exist ; known
att ta; to take ; known
att stötta; to support ; known
att sitta; to sit ; known
vit; white ; known
rosa; pink ; known
svart; black ; known
orange; orange ; known
röd; red ; known
blå; blue ; known
gul; yellow ; known
färg; color ; known
lila; purple ; known
grå; gray ; known
brun; brown ; known
grön; green ; known
gyllene; golden ; known
färgglad; colorful ; known
vad; what ; known
hur; how ; known
vem; who ; known
vems; whose ; known
varför; why ; known
vart; to where ; known
var; where ; known
många; many ; known
när; when ; known
fråga; question ; known
svar; answer ; known
att göra; to make ; known
ingen; no one ; known
förstår; understands ; known
svarar; answers ; known
frågar; asks ; known
vet; know ; known
vilken; which ; known
från; from ; known
i; in ; known
mellan; between ; known
för; for ; known
utan; without ; known
med; with ; known
genom; through ; known
till; to ; known
enligt; according to ; known
efter; after ; known
under; under ; known
över; over ; known
utanför; outside ; known
framför; in front ; known
bredvid; next to ; known
mot; against ; known
framåt; forward ; known
före; before ; known
bakom; behind ; known
eller; or ; known
men; but ; known
helst; preferably ; known
som; as ; known
därför; because ; known
eftersom; since ; known
att; to ; known
medan; while ; known
innan; before ; known
en tid; a time ; known
en eftermiddag; an afternoon ; known
en dag; a day ; known
en kväll; an evening ; known
en timme; an hour ; known
måndag; Monday ; known
tisdag; Tuesday ; known
onsdag; Wednesday ; known
fredag; Friday ; known
en kalender; a calendar ; known
lördag; Saturday ; known
söndag; Sunday ; known
ett år; a year ; known
en vecka; a week ; known
en ålder; an age ; known
en helg; a weekend ; known
torsdag; Thursday ; known
en månad; a month ; known
januari; January ; known
februari; February ; known
mars; March ; known
april; April ; known
ett datum; a date ; known
maj; May ; known
juni; June ; known
juli; July ; known
september; September ; known
augusti; August ; known
oktober; October ; known
november; November ; known
december; December ; known
en vardag; a week day ; known
en årstid; a season ; known
vinter; winter ; known
sommar; summer ; known
höst; autumn ; known
en minut; one minute ; known
en midsommar; a midsummer ; known
ögonblick; moment ; known
född; born ; known
ett årtionde; a decade ; known
en sekund; one second ; known
en stund; a while ; known
ett århundrade; one century ; known
en period; a period ; known
tills; until ; known
en kvart; a quarter ; known
en generation; a generation ; known
ett dygn; a full day ; known
ett halvår; six months ; known
en fest; a party ; known
en pappa; a dad ; known
en mamma; a mom ; known
en dotter; a daughter ; known
en syster; a sister ; known
systrar; sisters ; known
en bror; a brother ; known
bröder; brothers ; known
son; son ; known
en familj; a family ; known
en förälder; a parent ; known
en fru; a wife ; known
ett syskon; a sibling ; known
ett bröllop; a wedding ; known
en mormor; a maternal grandmother ; known
en farfar; a paternal grandfather ; known
en mor; a mother ; known
en far; a father ; known
en farmor; a paternal grandmother ; known
en morfar; a maternal grandfather ; known
en kusin; a cousin ; known
en tvilling; a twin ; known
ett barnbarn; a grandchild ; known
söner; sons ; known
döttrar; daughters ; known
en student; a student ; known
en läkare; a doctor ; known
arbete; work ; known
en författare; an author ; known
en modell; a model ; known
ett jobb; a job ; known
personal; staff ; known
polis; police ; known
en tolk; an interpreter ; known
en advokat; a lawyer ; known
en karriär; a career ; known
en artist; an artist ; known
en sekreterare; a secretary ; known
en arbetare; a worker ; known
professionell; professional ; known
en domare; ajudge ; known
en brandman; a fire fighter ; known
en pilot; a pilot ; known
en vakt; a guard ; known
en skådespelare; an actor ; known
en skådespelerska; an actress ; known
en chef; a boss ; known
en soldat; a soldier ; known
ett yrke; a profession ; known
en bonde; a farmer ; known
en arkitekt; an architect ; known
en ingenjör; an engineer ; known
en präst; a priest ; known
stor; big ; known
lång; long ; known
trött; tired ; known
liten; small ; known
små; tiny ; known
min egen; my own ; known
öppen; open ; known
bra; good ; known
kall; cold ; known
varm; warm ; known
smutsig; dirty ; known
vänster; left ; known
ny; new ; known
gammal; old ; known
nästa; next ; known
populär; popular ; known
viktig; important ; known
fin; fancy ; known
möjlig; possible ; known
samma; same ; known
olika; different ; known
lika; alike ; known
hel; whole ; known
nödvändig; necessary ; known
sista; last ; known
privat; private ; known
personlig; personal ; known
officiell; official ; known
självständig; independent ; known
konstig; weird ; known
dålig; bad ; known
vacker; beautiful ; known
utmärkt; excellent ; known
perfekt; perfect ; known
modern; modern ; known
full; full ; known
tom; empty ; known
ful; ugly ; known
dyr; expensive ; known
intressant; interesting ; known
historisk; historical ; known
religiös; religious ; known
fel; wrong ; known
allvarlig; serious ; known
snygg; good loooking ; known
riktig; TRUE ; known
ledsen; sad ; known
berömd; famous ; known
omöjligt; impossible ; known
effektiv; effective ; known
särskild; special ; known
vegetarisk; vegetarian ; known
traditionell; traditional ; known
rik; rich ; known
rädd; afraid ; known
vanlig; common ; known
ovanlig; unusual ; known
bekväm; comfortable ; known
värdefull; valuable ; known
tvåspråkig; bilingual ; known
att ge; to give ; known
att tänka; to think ; known
att ringa; to call ; known
att rädda; to save ; known
att studera; to study ; known
at hålla; to hold ; known
att leva; to live ; known
att titta; to look ; known
att bjuda; to offer ; known
att hinna; to have time to ; known
att försöka; to try ; known
att presentera; to present ; known
att behöva; to need ; known
att ligga ner; to lie down ; known
att bo i; to live in ; known
att få; to get ; known
att stämma; to sue ; known
att känna; to know ; known
att sluta; to end ; known
att kyssa; to kissa ; known
att önska; to wish ; known
att lära sig; to learn ; known
att orka; to have the energy ; known
att leta; to seek ; known
att passera; to pass ; known
att tro; to believe ; known
att hjälpa; to help ; known
att räcka; to be enough ; known
att dö; to die ; known
att följa; to follow ; known
att tacka; to thank ; known
attt verka; to seem ; known
att krama; to hug ; known
att säga; to say ; known
att frysa; to freeze ; known
att vila; to rest ; known
att börja; to start ; known
att stanna; to stay ; known
att lita; to trust ; known
att undra; to wonder ; known
också; also ; known
långt; far ; known
nu; now ; known
där; there ; known
mer; more ; known
väldigt; very ; known
vanligt; ordinary ; known
aldrig; never ; known
här; here ; known
ganska; quite ; known
alltid; always ; known
fortfarande; still ; known
ofta; often ; known
bara; only ; known
kanske; maybe ; known
ens; even ; known
både; both ; known
till och med; even ; known
ändå; still ; known
borta; away ; known
sällan; rarely ; known
igen; again ; known
ibland; sometimes ; known
verkligen; really ; known
egentligen; actually ; known
redan; already ; known
åtminstone; at least ; known
hit; (to) here ; known
senare; later ; known
snart; soon ; known
slut; ended ; known
tillräckligt; enough ; known
vanligtvis; usually ; known
dit; (to) there ; known
för närvarande; currently ; known
särskilt; particularly ; known
nästan; almost ; known
sent; late ; known
äntligen; finally ; known
i allmänhet; generally ; known
faktiskt; actually ; known
helt; completely ; known
ungefär; approximately ; known
precis; exactly ; known
tydligt; clearly ; known
var som helst; anywhere ; known
möjligtvis; possibly ; known
nära; close ; known
definitivt; definitely ; known
varken; neither ; known
heller; either ; known
långsamt; slowly ; known
tillsammans; together ; known
nödvändigtvis; necessarily ; known
troligtvis; likely ; known
absolut; absolutely ; known
ett hus; a house ; known
en hotell; a hotel ; known
ett badrum; a bathroom ; known
ett kök; a kitchen ; known
Sverige; Sweden ; known
en strand; a beach ; known
stränder; beaches ; known
en flygplats; an airport ; known
en väg; a road ; known
en kyrka; a church ; known
en plats; a place ; known
en stad; a city ; known
ett land; a country ; known
Finland; Finland ; known
ett hem; a home ; known
längs; along ; known
en gata; a street ; known
länder; countries ; known
städer; cities ; known
ett slott; a castle ; known
en trädgård; a garden ; known
en adress; an address ; known
avdelning; department ; known
ett rum; a room ; known
en marknad; a market ; known
en park; a park ; known
ett kontor; an office ; known
ett område; an area ; known
en bank; a bank ; known
en ö; an island ; known
en sjö; a lake ; known
en bar; a bar ; known
ett centrum; a center ; known
en region; a region ; known
en bastu; a sauna ; known
mark; ground ; known
en dal; a valley ; known
ett museum; a museum ; known
en kust; a coast ; known
insidan; the inside ; known
en skog; a forest ; known
en byggnad; a building ; known
ett hörn; a corner ; known
en gräns; a border ; known
ett torn; a tower ; known
ett bio; a cinema ; known
en allé; an avenue ; known
en egendom; a (piece of) property ; known
en affär; a store ; known
ett fängelse; a prison ; known
ett palats; a palace ; known
en huvudstad; a capital ; known
en hamn; a port ; known
höger; right ; known
en fabrik; a factory ; known
ett torg; a plaza ; known
vänster; left ; known
nöjesfält; amusement park ; known
en bondgård; a farmhouse ; known
västkust; west coast ; known
norr; north ; known
framsida; front ; known
en toalett; a toilet ; known
ett bord; a table
en säng; a bed
ett fönster; a window
en stol; a chair
en flaska; a bottle
mina möbler; my furniture
en television; a television
en dator; a computer
en radio; a radio
en spegel; a mirror
en klocka; a clock
en mobil; a cellphone
en dörr; a door
en soffa; a couch
en korg; a basket
en lampa; a lamp
en tvål; a soap
ett skrivbord; a desk
ett batteri; a battery
en flagga; a flag
ett lakan; a bedsheet
en låda; a drawer
en skärm; a screen
en rakhyvel; a razor
en plånbok; a wallet
en väska; a bag
en vägg; a wall
en tandkräm; a toothpaste
en våning; a floor (story)
ett golv; a floor
ett paraply; an umbrella
en sak; a thing
en leksak; a toy
ett tak; a ceiling
ett skåp; a cabinet
en nyckel; a key
ett hjul; a wheel
en telefon; a telephone
pengar; money
en sax; a pair of scissors
ett papper; a paper
en stekpanna; a frying pan
en pool; a pool
ett täcke; a blanket
en kudde; a pillow
en motor; an engine
en maskin; a machine
ett föremål; an object
en bit; a piece
ett snöre; a piece of string
en hylla; a shelf
en kedja; a chain
en roman; a novel
en kam; a comb
ett pulver; a powder
en duk; a cloth
en handduk; a towel
en tandborste; a toothbrush
en kastrull; a saucepan
en garderob; a wardrobe
en matta; a carpet
en gardin ; a curtain
ett tyg; a fabric
en skål; a bowl
en person; a person
en vän; a friend
en pojkvän; a boyfriend
en flickvän; a girlfriend
ett spädbarn; an infant
en fiende; an enemy
en gäst; a guest
en människa; a human being
ungdom; youth
en befolkning; a population
en kultur; a culture
en kommitté; a committee
en kille; a guy or boyfriend
en konferens; a conference
en tjej; a girl or girlfriend
en by; a village
par; couple
en dam; a lady
en medborgare; a citizen
ett folk; a people
ett förhållande; a relationship
ett offer; a victim
individ; individual
viking; viking
en kung; a king
en drottning; a queen
en prins; a prince
en prinsessa; a princess
en kronprinsessa; a crown princess
en vuxen; an adult
jag reser; I travel
en bil; a car
cykel; a bicycle
en motorcykel; a motorcycle
en resväska; a suitcase
en buss; a bus
ett tåg; a train
en båt; a boat
ett flygplan; an aircraft
att köra; to drive
en guide; a guide
en  ryggsäck; a backpack
att besöka; to visit
jag är svensk; I am Swedish
han är engelsk; he is English
den är finsk; it is Finnish
en karta; a map
ett skepp; a ship
norden; the north
ett fordon; a vehicle
en semester; a vacation
Danmark; Denmark
en resa; a trip
Norge; Norway
Skandinavien; Scandinavia
en bro; a bridge
en plan; a plan
ett äventyr; an adventure
en biljett; a ticket
finlandssvensk; Finnish-Swedish
en tunnelbana; a subway
Stockholm; Stockholm
Island; Iceland
en turist; a tourist
han är tysk; he is German
Tyskland; Germany
Amerika; America
Europa; Europe
Kina; China
utomlands; abroad
söder; South
Finländsk; Finnish
den är norsk; it is Norwegian
han är Dansk; he is Danish
busshållplats; bus stop
kinesisk; Chinese
internationell; international
amerikansk; American
europeisk; European
runt; around
svänger; swings
ett pass; a passport
allting; everything
någonting; something
varje; every
utom; except
båda; both
annan; other
andra; others
annat; something other
sådan; such
vem som helst; whomever
varandra; each other
både och; both
ingendera; neither
antingen eller; either or
förra året; last year
året; year before last
själv; self
två; two
tre; three
fyra; four
fem; five
nummer; number
telefonnummer; phone number
fler; more
sex; six
sju; seven
åtta; eight
nio; nine
tio; ten
gånger; times
mindre; less
första; the first
miljon; million
tredje; third
mängd; amount
antal; quantity
stycken; pieces
siffra; figure or number
elva; eleven
tolv; twelve
tretton; thirteen
fjorton; fourteen
femton; fifteen
sexton; sixteen
sjutton; seventeen
summa; total sum
arton; eighteen
nitton; nineteen
tjugo; twenty
trettio; thirty
fyrtio; forty
femtio; fifty
sextio; sixty
halv; half
sjuttio; seventy
åttio; eighty
nittio; ninety
ett hundra; a hundred
ett tusen; one thousand
att kosta; to cost
krona; crown
per; per
fjärde; fourth
meter; meter
tjugofyra; twenty four
värd; worth
tjugoett; twenty one
genomsnitt; average
tjugofem; twenty five
hälften; the half
hundratal; hundreds of
majoritet; majority
plus; plus
dubbel; double
femte; fifth
sjätte; sixth
sjunde; seventh
åttonde; eighth
nionde; ninth
nittonhundratalet; twentieth century
sammanlagt; altogether
tusentals; thousands of
att respektera; to respekt
att ställa; to set
att innehålla; to contain
att möta; to meet
att bli; to become
att räkna; to count
att klippa; to cut
att må; to feel
att sakna; to lack
att missa; to miss
att lägga; to lay
att likna; to be similar
att hyra; to rent
att fylla; to fill
att tappa; to drop
att anse; to consider
att tillverka; to manufacture
att blanda; to mix
att torka; to wipe
att boka; to book
att fortsätta; to continue
att bygga; to build
att vänta; to wait
att hänga; to hang
att importera; to import
att berätta; to tell
att lämna; to leave
att undervisa; to teach
att tillhöra; to belong
att anta; to suppose
att hata; to hate
att fungera; to function
att skicka; to sends
att dela; to divide
att förklara; to explain
att passa; to match
att servera; to serve
att stänga; to close
att besöka; to visit
att vinna; to win
att skära; to cut
att be; to pray
att förlora; to lose
att angå; to concern
att hålla med; to agree with
äter upp; eats up
dyker upp; shows up
att lägga till; to add to
skriver under; to sign
att hoppas; to hope
att missyckas; to fail
att lyckas; to succeed
att fattas; to be missing
att minnas; to remember
att ses; to be seen
att träffas; to meet up
det känns; it feels
han skyndar sig; he hurries
hon känner sig; she feels
de lär sig; they learn
de gifter sig; they get married
han förbereder sig; he prepares himself
att överraska; to surprise
hon tar med sig; she takes with her
han har med sig; he is bringing
hon tar av sig; she takes off her
att bry sig om; to care about
han tar på sig; he puts on
delar med sig; shares
en lärare; a teacher
en utbildning; an education
en skola; a school
en penna; a pen
anteckningar; notes
en lektion; a lesson
en elev; a pupil
en rast; a recess
en kurs; a course
en bibliotek; a library
ett prov; a test
en ansökning; an application
ett exempel; an example
en studie; a study
svår; difficult
en uppsats; an essay
många ord; many words
en kapitel; a chapter
kunskap; knowledge
en idé; an idea
en klass; a class
ett universitet; a university
trots; despite
en professor; a professor
en föreläsning; a lecture
en förklaring; an explanation
en presentation; a presentation
en högskola; a college
en svårighet; a difficulty
en läxa; a lesson
en historia; a history
ett mål; a goal
en sida; a page
ett dokument; a document
en rapport; a report
en undervisning; a lesson
att betyda; to mean
drack; drank
talade; spoke
var; was
gick; walked
åkte; went
pratade; talked
i går; yesterday
tyckte om; liked
älskade; loved
regnade; rained
ville ha; wanted
såg; saw
simmade; swam
kom; came
tappade; lost
lekte; played
hörde; heard
sade; said
lyssnade; listened
hade; had
nyligen; recently
arbetade; worked
han lagade mat; he cooked food
gjorde; did
hittade; found
lämnade; left
berättade; told
tackade; thanked
förrgår; day before yesterday
ringde; rang
tog; took
tänkte; thought
skrev; wrote
trodde; thought
förlorade; lost
stängde; closed
gav; gave
dog; died
stöttade; supported
svängde; swung
sprang; ran
fick; got
sålde; sold
tittade; looked at
kände; felt
visste; knew
letade; searched
behöll; kept
höll; held
vann; won
visade; showed
köpte; bought
betalade; paid
hände; happened
presenterade; presented
innehöll; contained
öppnade; opened
verkade; seemed
förklarade; explained
svarade; responded
frågade; asked
dök upp; appeared
fanns; was
stannade; stayed
bodde; lived
väntade; waited
sov; slept
vilade; rested
litade; trusted
i morse; just this morning
att bruka; to usually
att vara; to be
att se; to see
att tycka om; to like
att laga mat; to cook
att vilja; to want
att tala; to speak
att göra; to do
att bestämma; to determine
att hyra; to rent
att höra; to hear
att äta; to eat
att träna; to train
att minnas; to remember
att veta; to know
att tvätta sig; to wash
att hålla med; to agree
att fånga; to catch
att ge; to give
att lära sig; to learn
att läsa; to read
att svara; to answer
Göteborg; Gothenburg
Malmö; Malmo
nord-; north-
Östersjön; The Baltic Sea
Åland; Åland
syd-; south-
Köpenhamn; Copenhagen
Helsingfors; Helsinki
öster; east
samisk; sami
Frankrike; France
Fransk; French
Grekland; Greece
Spanien; Spain
Italien; Italy
Rom; Rome
Österrike; Austria
Storbritannien; UK
Ryssland; Russia
Nederländerna; Netherlands
Brasilien; Brazil
Rysk; Russian
Polen; Poland
stod; stood
förstod; understood
räckte; was enough
började; started
försökte; tried
bestämde; determined
slutade; finished
antog; assumed
satt; sat
låg; laid
hjälpte; helped
lärde; learned
använde; used
följde; followed
läste; read
behövde; needed
liknade; was similar to
hyrde; to rented
torkade; dried
kunde; could
hängde; hung
levde; lived
valde; chose
glömde; forgot
jag lät dig; I let you
jag mindes; I remembered
det kändes; it felt
hette; was called
blev; became
brukade; used to
körde; drove
sjöng; to sang
flög; flew
bjöd; invited
föll; fell
hoppades; hoped
nittiotalet; the nineties
sjuttiotalet; the seventies
en kaka; a cookie
en bulle; a bun
kanel; cinnamon
en kanelbulle; a cinnamon bun
fika; coffee break
att baka; to bake
en sill; a herring
en potatis; a potato
en bagare; a baker
att smaka; to taste
en kräfta; a crayfish
ett bageri; a bakery
ett knäckebröd; a crispbread
ett bär; a berry
ett hallon; a raspberry
grädde; cream
en sås; a sauce
smör; butter
en köttbulle; a meatball
senap; mustard
en surströmming; a sour herring
en tårta; a cake
törstig; thirsty
hungrig; hungry
ett kylskåp; a refrigerator
en osthyvel; a cheese slicer
en korv; a sausage
en vitlök; a garlic
en lök; an onion
en lax; a salmon
ett rödvin; a red wine
en morot; a carrot
en saft; a juice
lycka; happiness
lycklig; happy
rolig; funny
tråkig; boring
ett skratt; a laugh
sorglig; sad
glad; in a good mood
en känsla; a feeling
känslig; sensitive
sörja; mourn
vemod; melancholy
ilska; rage
arg; angry
sorg; sorrow
sur; mad
att le; to smile
ett leende; a smile
frid; peace
kärlek; love
att våga; to dare
att förlåta; to forgive
att komma ihåg; to remember
hemsk; horrible
snäll; kind
att oroa sig; to worry oneself
fridfull; peaceful
nervös; nervous
att mysa; to cuddle
att gilla; to like
galen; crazy
sambo; cohabitant
kul; fun
jag är kär; I have a crush
mysig; cozy
nöjd; satisfied
en del; a part
ett namn; a name
en lista; a list
ett system; a system
en åsikt; an opinion
ett liv; a life
en service; a service
en grupp; a group
på ett sätt; in a way
en utsikt; a view
en sort; a variety
en order; an order
en typ; a type
en design; a design
en kontroll; a control
en medlem; a member
en förändring; a change
en nivå; a level
ett samtal; a conversation
en profil; a profile
ett fall; a case
en bild; a picture
en beskrivning; a description
ett värde; a value
ett innehåll; a content
en kateogri; a category
en version; a version
ett konto; an account
ett problem; a problem
ett val; a choice
ett resultat; a result
en aktivitet; an activity
ett förslag; a suggestion
en utrustning; an equipment
en lösning; a solution
en överenskommelse; an agreement
tur; luck
ett ansvar; a responsibility
början; beginning
ett ärende; an errand
ett alternativ; an alternative
en effekt; an effect
en tanke; a thought
önskan; wish
en dröm; a dream
hopp; hope
ett beslut; a decision
en röst; voice
en roll; a role
en grad; a degree
bevis; evidence
ett syfte; a purpose
en möjlighet; a possibility
framgång; success
ett ämne; a subject
ett betyg; a grade
min sömn; my sleep
mörker; darkness
ett ljus; ERROR
ett ställe; a place
ung; young
kallare; colder
tröttare; more tired
varmare; warmer
viktigare; more important
dyrare; more expensive
billigare; cheaper
billig; cheap
yngre; younger
större; bigger
ännu; as of yet
äldre; older
vackrare; more beautiful
längre; longer
bättre; better
nyare; newer
sämre; worse
intressantare; more interesting
rikare; richer
vanligare; more common
lite; a little
kort; short
finare; nicer, fancier
svårare; more difficult
långsam; slow
gratis; for free
ledig; available
fri; free
lätt; easy
oftare; more often
mest; most
stark; strong
oftast; most often
snabb; fast
enkel; simple
trevlig; pleasant
säker; secure
söt; sweet
kortast; shortest
kallast; coldest
underbar; wonderful
varmast; warmest
längst; farthest
fattig; poor
djup; deep
rättvis; fair
vass; sharp
vackrast; most beautiful
bäst; best
viktigast; most important
minst; least
yngst; youngest
äldst; oldest
svag; weak
ensam; alone
färdig; finished
störst; biggest
sämst; worst
regnat; rained
att ha haft; to have had
att ha läst; to have read
att ha varit; to have been
att ha gått; to have gone
att ha lagat mat; to have cooked food
att ha velat; to have wanted
att ha lekt med; to have played with
att ha hört; to have heard
att ha ätit; to have eaten
att ha pratat; to have talked
att ha kommit; to have come
att ha betalat; to have paid
att ha sett; to have seen
att ha sagt; to have said
att ha lämnat; to have left
att ha blivit; to have become
att ha gett; to have given
att ha skrivit; to have written
att ha ringt; to have rung
att ha gjort; to have done
att ha tagit; to have taken
att ha frågat; to have asked
att ha skickat; to have sent
att ha tappat; to have lost
att ha utvecklat; to have developed
att ha presenterat; to have presented
att ha stängt; to have closed
att ha träffat; to have met
att ha försökt; to have tried
att ha sovit; to have slept
att ha arbetat; to have worked
att ha tänkt; to have thought
att ha åkt; to have gone
att ha följt; to have followed
att ha simmat; to have swum
att ha sjungit; to have sung
att ha valt; to have chosen
att ha hoppat; to have jumped
att ha tvingat; to have forced
att ha berättat; to have told
att ha bott; to have stayed
att ha beställt; to have ordered
att ha öppnat; to have opened
att ha vunnit; to have won
att ha stannat; to have stayed
att ha köpt; to have bought
att ha sålt; to have sold
att ha känt; to have felt
att ha druckit; to have drunk
att ha saknat; to have missed
att ha slutat; to have stopped
att ha antagit; to have assumed
att ha tvättat; to have washed
att ha stått; to have stood
en igelkott; a hedgehog
en ko; a cow
en uggla; an owl
en kanin; a rabbit
en räv; a fox
ett får; a sheep
en apa; a monkey
ett lamm; a lamb
en mygga; a mosquito
en fluga; a fly
en gris; a pig
en insekt; an insect
vinge; wing
svans; tail
ett bi; a bee
ett lejon; a lion
en ekorre; a squirrel
en orm; a snake
en groda; a frog
en fjäril; a butterfly
att bita; to bite
en ödla; a lizard
att jaga; to hunt
en tiger; a tiger
kan; can
måste; must
borde; should
att vara tvungen; to be forced to
jag ska; I will
läs boken; read the book
ät maten; eat the food
tänk på mig; think about me
köp mjölk; buy milk
sälj din bil; sell your car
han åk iväg; he rode away
sjung inte; do not sing
spring, Forrest!; run, Forrest!
skriv ett brev; write a letter
följ efter honom; follow him
ja, fortsätt; yes, continue
håll min dryck; hold my drink
förlåt; sorry
ställ en fråga; ask a question
lägg dig; lay down
möt mig här i morgon; meet me here tomorrow
se upp; beware
hjälp; help
ring mig; call me
lek inte med hunden; do not play with the dog
låt mig se; let me see
jag ska låta; I will let
hon ska dricka; she will drink
han ska skynda sig; he will hurry up
han kommer att gifta sig; he is going to get married
kommer att; is going to
att uppnå; to achieve
i morgon bitti; early tomorrow morning
glömma; forget
hända; happen
det kommer att ordna sig; it will be alright
påverka; affect
hindra; prevent
övermorgon; day after tomorrow
jag har hittat; I have found
de har förlorat; they have lost
jag kunde ha skurit; I could have cut
att ha dött; to have died
att ha levt; to have lived
