en man; a man
genomsnitt; average
tjugofem; twenty five
hälften; the half
hundratal; hundreds of
majoritet; majority
plus; plus
dubbel; double
femte; fifth
sjätte; sixth
sjunde; seventh
åttonde; eighth
nionde; ninth
nittonhundratalet; twentieth century
sammanlagt; altogether
tusentals; thousands of
att respektera; to respekt
att ställa; to set
att innehålla; to contain
att möta; to meet
att bli; to become
att räkna; to count
att klippa; to cut
att må; to feel
att sakna; to lack
att missa; to miss
att lägga; to lay
att likna; to be similar
att hyra; to rent
att fylla; to fill
att tappa; to drop
att anse; to consider
att tillverka; to manufacture
att blanda; to mix
att torka; to wipe
att boka; to book
att fortsätta; to continue
att bygga; to build
att vänta; to wait
att hänga; to hang
att importera; to import
att berätta; to tell
att lämna; to leave
att undervisa; to teach
att tillhöra; to belong
att anta; to suppose
att hata; to hate
att fungera; to function
att skicka; to sends
att dela; to divide
att förklara; to explain
att passa; to match
att servera; to serve
att stänga; to close
att besöka; to visit
att vinna; to win
att skära; to cut
att be; to pray
att förlora; to lose
att angå; to concern
att hålla med; to agree with
äter upp; eats up
dyker upp; shows up
att lägga till; to add to
skriver under; to sign
att hoppas; to hope
att missyckas; to fail
att lyckas; to succeed
att fattas; to be missing
att minnas; to remember
att ses; to be seen
att träffas; to meet up
det känns; it feels
han skyndar sig; he hurries
hon känner sig; she feels
de lär sig; they learn
de gifter sig; they get married
han förbereder sig; he prepares himself
att överraska; to surprise
hon tar med sig; she takes with her
han har med sig; he is bringing
hon tar av sig; she takes off her
att bry sig om; to care about
han tar på sig; he puts on
delar med sig; shares
en lärare; a teacher
en utbildning; an education
en skola; a school
en penna; a pen
anteckningar; notes
en lektion; a lesson
en elev; a pupil
en rast; a recess
en kurs; a course
en bibliotek; a library
ett prov; a test
en ansökning; an application
ett exempel; an example
en studie; a study
svår; difficult
en uppsats; an essay
många ord; many words
en kapitel; a chapter
kunskap; knowledge
en idé; an idea
en klass; a class
ett universitet; a university
trots; despite
en professor; a professor
en föreläsning; a lecture
en förklaring; an explanation
en presentation; a presentation
en högskola; a college
en svårighet; a difficulty
en läxa; a lesson
en historia; a history
ett mål; a goal
en sida; a page
ett dokument; a document
en rapport; a report
en undervisning; a lesson
att betyda; to mean
drack; drank
talade; spoke
var; was
gick; walked
åkte; went
pratade; talked
i går; yesterday
tyckte om; liked
älskade; loved
regnade; rained
ville ha; wanted
såg; saw
simmade; swam
kom; came
tappade; lost
lekte; played
hörde; heard
sade; said
lyssnade; listened
hade; had
nyligen; recently
arbetade; worked
han lagade mat; he cooked food
gjorde; did
hittade; found
lämnade; left
berättade; told
tackade; thanked
förrgår; day before yesterday
ringde; rang
tog; took
tänkte; thought
skrev; wrote
trodde; thought
förlorade; lost
stängde; closed
gav; gave
dog; died
stöttade; supported
svängde; swung
sprang; ran
fick; got
sålde; sold
tittade; looked at
kände; felt
visste; knew
letade; searched
behöll; kept
höll; held
vann; won
visade; showed
köpte; bought
betalade; paid
hände; happened
presenterade; presented
innehöll; contained
öppnade; opened
verkade; seemed
förklarade; explained
svarade; responded
frågade; asked
dök upp; appeared
fanns; was
stannade; stayed
bodde; lived
väntade; waited
sov; slept
vilade; rested
litade; trusted
i morse; just this morning
att bruka; to usually
att vara; to be
att se; to see
att tycka om; to like
att laga mat; to cook
att vilja; to want
att tala; to speak
att göra; to do
att bestämma; to determine
att hyra; to rent
att höra; to hear
att äta; to eat
att träna; to train
att minnas; to remember
att veta; to know
att tvätta sig; to wash
att hålla med; to agree
att fånga; to catch
att ge; to give
att lära sig; to learn
att läsa; to read
att svara; to answer
Göteborg; Gothenburg
Malmö; Malmo
nord-; north-
Östersjön; The Baltic Sea
Åland; Åland
syd-; south-
Köpenhamn; Copenhagen
Helsingfors; Helsinki
öster; east
samisk; sami
Frankrike; France
Fransk; French
Grekland; Greece
Spanien; Spain
Italien; Italy
Rom; Rome
Österrike; Austria
Storbritannien; UK
Ryssland; Russia
Nederländerna; Netherlands
Brasilien; Brazil
Rysk; Russian
Polen; Poland
stod; stood
förstod; understood
räckte; was enough
började; started
försökte; tried
bestämde; determined
slutade; finished
antog; assumed
satt; sat
låg; laid
hjälpte; helped
lärde; learned
använde; used
följde; followed
läste; read
behövde; needed
liknade; was similar to
hyrde; to rented
torkade; dried
kunde; could
hängde; hung
levde; lived
valde; chose
glömde; forgot
jag lät dig; I let you
jag mindes; I remembered
det kändes; it felt
hette; was called
blev; became
brukade; used to
körde; drove
sjöng; to sang
flög; flew
bjöd; invited
föll; fell
hoppades; hoped
nittiotalet; the nineties
sjuttiotalet; the seventies
en kaka; a cookie
en bulle; a bun
kanel; cinnamon
en kanelbulle; a cinnamon bun
fika; coffee break
att baka; to bake
en sill; a herring
en potatis; a potato
en bagare; a baker
att smaka; to taste
en kräfta; a crayfish
ett bageri; a bakery
ett knäckebröd; a crispbread
ett bär; a berry
ett hallon; a raspberry
grädde; cream
en sås; a sauce
smör; butter
en köttbulle; a meatball
senap; mustard
en surströmming; a sour herring
en tårta; a cake
törstig; thirsty
hungrig; hungry
ett kylskåp; a refrigerator
en osthyvel; a cheese slicer
en korv; a sausage
en vitlök; a garlic
en lök; an onion
en lax; a salmon
ett rödvin; a red wine
en morot; a carrot
en saft; a juice
lycka; happiness
lycklig; happy
rolig; funny
tråkig; boring
ett skratt; a laugh
sorglig; sad
glad; in a good mood
en känsla; a feeling
känslig; sensitive
sörja; mourn
vemod; melancholy
ilska; rage
arg; angry
sorg; sorrow
sur; mad
att le; to smile
ett leende; a smile
frid; peace
kärlek; love
att våga; to dare
att förlåta; to forgive
att komma ihåg; to remember
hemsk; horrible
snäll; kind
att oroa sig; to worry oneself
fridfull; peaceful
nervös; nervous
att mysa; to cuddle
att gilla; to like
galen; crazy
sambo; cohabitant
kul; fun
jag är kär; I have a crush
mysig; cozy
nöjd; satisfied
en del; a part
ett namn; a name
en lista; a list
ett system; a system
en åsikt; an opinion
ett liv; a life
en service; a service
en grupp; a group
på ett sätt; in a way
en utsikt; a view
en sort; a variety
en order; an order
en typ; a type
en design; a design
en kontroll; a control
en medlem; a member
en förändring; a change
en nivå; a level
ett samtal; a conversation
en profil; a profile
ett fall; a case
en bild; a picture
en beskrivning; a description
ett värde; a value
ett innehåll; a content
en kateogri; a category
en version; a version
ett konto; an account
ett problem; a problem
ett val; a choice
ett resultat; a result
en aktivitet; an activity
ett förslag; a suggestion
en utrustning; an equipment
en lösning; a solution
en överenskommelse; an agreement
tur; luck
ett ansvar; a responsibility
början; beginning
ett ärende; an errand
ett alternativ; an alternative
en effekt; an effect
en tanke; a thought
önskan; wish
en dröm; a dream
hopp; hope
ett beslut; a decision
en röst; voice
en roll; a role
en grad; a degree
bevis; evidence
ett syfte; a purpose
en möjlighet; a possibility
framgång; success
ett ämne; a subject
ett betyg; a grade
min sömn; my sleep
mörker; darkness
ett ljus; ERROR
ett ställe; a place
ung; young
kallare; colder
tröttare; more tired
varmare; warmer
viktigare; more important
dyrare; more expensive
billigare; cheaper
billig; cheap
yngre; younger
större; bigger
ännu; as of yet
äldre; older
vackrare; more beautiful
längre; longer
bättre; better
nyare; newer
sämre; worse
intressantare; more interesting
rikare; richer
vanligare; more common
lite; a little
kort; short
finare; nicer, fancier
svårare; more difficult
långsam; slow
gratis; for free
ledig; available
fri; free
lätt; easy
oftare; more often
mest; most
stark; strong
oftast; most often
snabb; fast
enkel; simple
trevlig; pleasant
säker; secure
söt; sweet
kortast; shortest
kallast; coldest
underbar; wonderful
varmast; warmest
längst; farthest
fattig; poor
djup; deep
rättvis; fair
vass; sharp
vackrast; most beautiful
bäst; best
viktigast; most important
minst; least
yngst; youngest
äldst; oldest
svag; weak
ensam; alone
färdig; finished
störst; biggest
sämst; worst
regnat; rained
att ha haft; to have had
att ha läst; to have read
att ha varit; to have been
att ha gått; to have gone
att ha lagat mat; to have cooked food
att ha velat; to have wanted
att ha lekt med; to have played with
att ha hört; to have heard
att ha ätit; to have eaten
att ha pratat; to have talked
att ha kommit; to have come
att ha betalat; to have paid
att ha sett; to have seen
att ha sagt; to have said
att ha lämnat; to have left
att ha blivit; to have become
att ha gett; to have given
att ha skrivit; to have written
att ha ringt; to have rung
att ha gjort; to have done
att ha tagit; to have taken
att ha frågat; to have asked
att ha skickat; to have sent
att ha tappat; to have lost
att ha utvecklat; to have developed
att ha presenterat; to have presented
att ha stängt; to have closed
att ha träffat; to have met
att ha försökt; to have tried
att ha sovit; to have slept
att ha arbetat; to have worked
att ha tänkt; to have thought
att ha åkt; to have gone
att ha följt; to have followed
att ha simmat; to have swum
att ha sjungit; to have sung
att ha valt; to have chosen
att ha hoppat; to have jumped
att ha tvingat; to have forced
att ha berättat; to have told
att ha bott; to have stayed
att ha beställt; to have ordered
att ha öppnat; to have opened
att ha vunnit; to have won
att ha stannat; to have stayed
att ha köpt; to have bought
att ha sålt; to have sold
att ha känt; to have felt
att ha druckit; to have drunk
att ha saknat; to have missed
att ha slutat; to have stopped
att ha antagit; to have assumed
att ha tvättat; to have washed
att ha stått; to have stood
en igelkott; a hedgehog
en ko; a cow
en uggla; an owl
en kanin; a rabbit
en räv; a fox
ett får; a sheep
en apa; a monkey
ett lamm; a lamb
en mygga; a mosquito
en fluga; a fly
en gris; a pig
en insekt; an insect
vinge; wing
svans; tail
ett bi; a bee
ett lejon; a lion
en ekorre; a squirrel
en orm; a snake
en groda; a frog
en fjäril; a butterfly
att bita; to bite
en ödla; a lizard
att jaga; to hunt
en tiger; a tiger
kan; can
måste; must
borde; should
att vara tvungen; to be forced to
jag ska; I will
läs boken; read the book
ät maten; eat the food
tänk på mig; think about me
köp mjölk; buy milk
sälj din bil; sell your car
han åk iväg; he rode away
sjung inte; do not sing
spring, Forrest!; run, Forrest!
skriv ett brev; write a letter
följ efter honom; follow him
ja, fortsätt; yes, continue
håll min dryck; hold my drink
förlåt; sorry
ställ en fråga; ask a question
lägg dig; lay down
möt mig här i morgon; meet me here tomorrow
se upp; beware
hjälp; help
ring mig; call me
lek inte med hunden; do not play with the dog
låt mig se; let me see
jag ska låta; I will let
hon ska dricka; she will drink
han ska skynda sig; he will hurry up
han kommer att gifta sig; he is going to get married
kommer att; is going to
att uppnå; to achieve
i morgon bitti; early tomorrow morning
glömma; forget
hända; happen
det kommer att ordna sig; it will be alright
påverka; affect
hindra; prevent
övermorgon; day after tomorrow
jag har hittat; I have found
de har förlorat; they have lost
jag kunde ha skurit; I could have cut
att ha dött; to have died
att ha levt; to have lived
att ha upptäckt; to have discovered
att ha funnits; to have existed
att ha vetat; to have known
att ha glömt; to have forgotten
vars; whose
att träffa; to hit
att starta; to start
att täcka; to cover
att öka; to increase
att måla; to paint
att låna; to borrow
att skada; to damage
att skära; to cut
att finnas; to exist
att spara; to save
att tillåta; to allow
att stoppa; to stop
att förbättra; to improve
att förstå; to understand
att upprepa; to repeat
att väcka; to wake
att utveckla; to develop
att uppskatta; to appreciate
att tvinga; to force
att acceptera; to accept
att bära; to carry
att undvika; to avoid
att definiera; to define
att slå; to beat
att kunna; to be able to
att diskutera; to discuss
att avsluta; to end
att försvinna; to disappear
att varna; to warn
att byta; to change
att förutsätta; to presume
att flytta; to move
att lida; to suffer
att förbereda; to prepare
att hämta; to retrieve
att analysera; to analyze
att bada; to bathe
att älska; to love
en blomma; a flower
ett träd; a tree
ett hav; a sea
gräs; grass
en himmel; a sky
en måne; a moon
en sol; a sun
is; ice
en värld; a world
en stjärna; a star
en eld; a fire
luft; air
skärgård; archipelago
ett regn; a raikn
en vulkan; a volcano
en miljö; an environment
ett berg; a mountain
väder; weather
natur; nature
en flod; river
trä; wood
en äng; a meadow
en våg; a wave
en planet; a planet
en sten; a stone
en gran; a fir
ett löv; a leaf
en å; a stream
jord; soil
att växa; to grow
ett klimat; a climate
ett universum; a universe
rök; smoke
ett landskap; a landscape
en ros; a rose
att blåsa; to blow
en vind; a wind
ett moln; a cloud
sand; sand
damm; dust
en växt; a plant
gas; gas
ett material; a material
att snöa; to snow
snö; snow
en metall; a metal
blixt; lightning
åska; thunder
rymd; space
norrsken; Northern Lights
ett vattenfall; a waterfall
en regnbåge; a rainbow
frost; frost
mjuk; soft
hård; hard
lagom; a sufficient amount
död; dead
jobbig; annoying
farlig; dangerous
intresserad; interested
smart; smart
torr; dry
mörk; dark
sönder; broken
hög; high
dum; dumb
rak; straight
blyg; shy
gift; married
självklar; obvious
den enda; the only
annorlunda; different
illa; badly
tyst; silent
vaken; awake
blöt; wet
tung; heavy
tidig; early
värre; worse
tjock; fat
smal; thin
upptagen; busy
annars; otherwise
även; even
i stället; instead
alls; at all
gärna; gladly
nog; probably
dessutom; besides
däremot; however
plötsligt; suddenly
alltså; thus
hittills; to date
allra; the very
fort; fast
ständigt; constantly
knappast; hardly
bätte än någonsin; better than ever
igenom; through
samtidigt; at the same time
genast; immediately
en fördel; an advantage
respekt; respect
en situation; a situation
effektivitet; efficiency
en nackdel; a drawback
en teori; a theory
uppmärksamhet; attention
ett intresse; an interest
en sanning; a truth
en framtid; a future
ett projekt; a project
tillåtelse; permission
hänsyn; regard
ett misslyckande; a failure
en signal; a signal
en verklighet; a reality
ett ursprung; an origin
en hemlighet; a secret
en upplevelse; an experience
en brist; a lack
ett försök; an attempt
ett beteende; a behavior
ett undantag; an exception
erfarenhet; experience
en symbol; a symbol
en styrka; a strength
en utgång; an exit
en cirkel; a circle
en form; a shape
humor; humor
en relation; a relationship
en rädsla; a fear
ett tillstånd; a permission
ett nöje; an entertainment
trovärdighet; credibility
en konsekvens; a consequence
en stöld; a theft
en överraskning; a surprise
en tradition; a tradition
en konversation; a conversation
en tjänst; a service
en trend; a trend
en fras; a phrase
en attityd; an attitude
ett mord; a murder
ett misstag; a mistake
en personlighet; a personality
glädje; joy
en ära; an honor
en skugga; a shadow
ett minne; a memory
en ingång; an entrance
en fara; a danger
ett lag; a team
en spelare; a player
en boll; a ball
en promenad; a stroll
en sport; a sport
ett steg; a step
att spela ett spel; to play a game
en poäng; a point
ett spel; a game
fotboll; football
basket; basketball
en tränare; a coach
en racket; a racket
volleyboll; volleyball
att sparka; to kick
tennis; tennis
en match; a match
ett gym; a gym
en turnering; a tournament
idrott; sports
golf; golf
